source_file,domain_tag,split_group,fault_id,run_id,y,onset_step,phase,n_rows
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,42,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,43,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,47,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,64,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,99,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,211,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,213,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,226,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,256,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,259,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,317,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,341,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,356,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,363,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,374,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,377,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,390,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,418,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,420,0,1000000000,normal,1
TEP_FaultFree_Testing.csv,test_domain,test_cost,0,481,0,1000000000,normal,1
TEP_Faulty_Testing.csv,test_domain,test_cost,1,83,1,160,post_shift,1
TEP_Faulty_Testing.csv,test_domain,test_cost,1,83,1,160,transition,1
TEP_Faulty_Testing.csv,test_domain,test_cost,1,178,1,160,post_shift,1
TEP_Faulty_Testing.csv,test_domain,test_cost,1,178,1,160,transition,1
TEP_Faulty_Testing.csv,test_domain,test_cost,1,314,1,160,post_shift,1
