source_file,fault_id,default_onset_step,transition_len,post_shift_start
TEP_FaultFree_Testing.csv,0,1000000000,50,1000000000
TEP_FaultFree_Training.csv,0,1000000000,50,1000000000
TEP_Faulty_Testing.csv,1,160,50,210
TEP_Faulty_Testing.csv,2,160,50,210
TEP_Faulty_Testing.csv,3,160,50,210
TEP_Faulty_Testing.csv,4,160,50,210
TEP_Faulty_Testing.csv,5,160,50,210
TEP_Faulty_Testing.csv,6,160,50,210
TEP_Faulty_Testing.csv,7,160,50,210
TEP_Faulty_Testing.csv,8,160,50,210
TEP_Faulty_Testing.csv,9,160,50,210
TEP_Faulty_Testing.csv,10,160,50,210
TEP_Faulty_Testing.csv,11,160,50,210
TEP_Faulty_Testing.csv,12,160,50,210
TEP_Faulty_Testing.csv,13,160,50,210
TEP_Faulty_Testing.csv,14,160,50,210
TEP_Faulty_Testing.csv,15,160,50,210
TEP_Faulty_Testing.csv,16,160,50,210
TEP_Faulty_Testing.csv,17,160,50,210
TEP_Faulty_Testing.csv,18,160,50,210
TEP_Faulty_Testing.csv,19,160,50,210
TEP_Faulty_Testing.csv,20,160,50,210
TEP_Faulty_Training.csv,1,20,50,70
TEP_Faulty_Training.csv,2,20,50,70
TEP_Faulty_Training.csv,3,20,50,70
TEP_Faulty_Training.csv,4,20,50,70
TEP_Faulty_Training.csv,5,20,50,70
TEP_Faulty_Training.csv,6,20,50,70
TEP_Faulty_Training.csv,7,20,50,70
TEP_Faulty_Training.csv,8,20,50,70
TEP_Faulty_Training.csv,9,20,50,70
TEP_Faulty_Training.csv,10,20,50,70
TEP_Faulty_Training.csv,11,20,50,70
TEP_Faulty_Training.csv,12,20,50,70
TEP_Faulty_Training.csv,13,20,50,70
TEP_Faulty_Training.csv,14,20,50,70
TEP_Faulty_Training.csv,15,20,50,70
TEP_Faulty_Training.csv,16,20,50,70
TEP_Faulty_Training.csv,17,20,50,70
TEP_Faulty_Training.csv,18,20,50,70
TEP_Faulty_Training.csv,19,20,50,70
TEP_Faulty_Training.csv,20,20,50,70
